Category	Name	Value
ReadStats	PassReads	888312.0
ReadStats	LenFail	0.0
ReadStats	QcFail	2191.0
Classification	Primers_found	283300.0
Classification	Rescue	1208.0
Classification	Unusable	604408.0
Strand	+	95800.0
Strand	-	187500.0
RescueStrand	+	370.0
RescueStrand	-	838.0
UnclassHitNr	0	458419.0
UnclassHitNr	2	111346.0
UnclassHitNr	3	31080.0
UnclassHitNr	4	3274.0
UnclassHitNr	5	273.0
UnclassHitNr	6	15.0
UnclassHitNr	7	1.0
RescueHitNr	4	1092.0
RescueHitNr	5	112.0
RescueHitNr	6	4.0
RescueSegmentNr	2	604.0
Unusable	0	178.0
Unusable	1	251.0
Unusable	2	385.0
Unusable	3	636.0
Unusable	4	928.0
Unusable	5	801.0
Unusable	6	687.0
Unusable	7	554.0
Unusable	8	590.0
Unusable	9	583.0
Unusable	10	593.0
Unusable	11	573.0
Unusable	12	555.0
Unusable	13	609.0
Unusable	14	662.0
Unusable	15	1097.0
Unusable	16	1647.0
Unusable	17	1243.0
Unusable	18	1068.0
Unusable	19	857.0
Unusable	20	917.0
Unusable	21	1005.0
Unusable	22	882.0
Unusable	23	714.0
Unusable	24	704.0
Unusable	25	975.0
Unusable	26	928.0
Unusable	27	863.0
Unusable	28	831.0
Unusable	29	807.0
Unusable	30	927.0
Unusable	31	806.0
Unusable	32	728.0
Unusable	33	705.0
Unusable	34	647.0
Unusable	35	616.0
Unusable	36	675.0
Unusable	37	766.0
Unusable	38	796.0
Unusable	39	786.0
Unusable	40	805.0
Unusable	41	974.0
Unusable	42	1181.0
Unusable	43	1208.0
Unusable	44	1082.0
Unusable	45	808.0
Unusable	46	751.0
Unusable	47	645.0
Unusable	48	614.0
Unusable	49	626.0
Unusable	50	654.0
Unusable	51	631.0
Unusable	52	604.0
Unusable	53	698.0
Unusable	54	796.0
Unusable	55	932.0
Unusable	56	908.0
Unusable	57	752.0
Unusable	58	687.0
Unusable	59	614.0
Unusable	60	575.0
Unusable	61	595.0
Unusable	62	605.0
Unusable	63	645.0
Unusable	64	712.0
Unusable	65	767.0
Unusable	66	695.0
Unusable	67	710.0
Unusable	68	740.0
Unusable	69	831.0
Unusable	70	781.0
Unusable	71	1008.0
Unusable	72	1246.0
Unusable	73	1237.0
Unusable	74	1459.0
Unusable	75	1883.0
Unusable	76	2135.0
Unusable	77	2476.0
Unusable	78	3328.0
Unusable	79	4382.0
Unusable	80	6287.0
Unusable	81	8362.0
Unusable	82	11334.0
Unusable	83	14927.0
Unusable	84	16550.0
Unusable	85	16298.0
Unusable	86	16119.0
Unusable	87	16179.0
Unusable	88	15438.0
Unusable	89	16668.0
Unusable	90	19679.0
Unusable	91	15195.0
Unusable	92	12519.0
Unusable	93	11311.0
Unusable	94	7377.0
Unusable	95	4153.0
Unusable	96	1270.0
Unusable	97	268.0
Unusable	98	13.0
Unusable	105	1.0
Unusable	106	1.0
Unusable	112	1.0
Unusable	113	1.0
Unusable	119	1.0
Unusable	122	1.0
Unusable	125	2.0
Unusable	129	1.0
Unusable	133	1.0
Unusable	135	3.0
Unusable	136	2.0
Unusable	137	1.0
Unusable	138	1.0
Unusable	139	3.0
Unusable	140	5.0
Unusable	142	3.0
Unusable	143	2.0
Unusable	144	1.0
Unusable	145	2.0
Unusable	146	1.0
Unusable	147	1.0
Unusable	148	1.0
Unusable	149	4.0
Unusable	151	1.0
Unusable	153	2.0
Unusable	155	2.0
Unusable	156	3.0
Unusable	157	3.0
Unusable	158	5.0
Unusable	159	4.0
Unusable	160	2.0
Unusable	161	2.0
Unusable	162	2.0
Unusable	163	2.0
Unusable	164	2.0
Unusable	165	1.0
