"Dataset"	"Tool"	"V"	"c"	"h"	"ARI"	"Mem_usage(Gb)"	"rt(d-h:m:s)"	"nr_cores"	"Commmets"
"ALZ"	"GeLuster"	0.743	0.629	0.908	0.301	17.2	"1-00:00:27"	1	"none"
"ALZ"	"isONclust1"	0.615	0.444	1	0	102.2	"1-13:58:55   "	16	"none"
"ALZ"	"isONclust3"	0.781	0.656	0.965	0.231	26.6	"0-04:55:48"	1	"Commit 07437a9"
"ALZ"	"isONclust3_syncmers"	0.793	0.662	0.987	0.345	26.9	"05:54:31"	1	"Commit 07437a9"
"ALZ"	"isONclust3_a"	0.781	0.656	0.966	0.233	25.8	"0-07:03:51"	1	"Commit 07437a9"
"ALZ"	"Rattle"					218.2	"0:00:00"	16	"Timeout after 5-00:00:08"
"SIRV"	"GeLuster"	0.734	0.674	0.807	0.763	2.5	"0-00:32:14"	1	"none"
"SIRV"	"isONclust1"	0.629	0.462	0.985	0.268	2.9	"0-00:30:03"	1        "	"TODO: run anew to get results"
"SIRV"	"isONclust3"	0.919	0.85	0.999	0.968	1.7  	"0-00:14:54"	1        "	
"SIRV"	"isONclust3_a"	0.919	0.85	0.999	0.968	1.9	"0-00:20:33"	1
"SIRV"	"Rattle"	0.851	0.745	0.993	0.901	16.6	"00:15:09"	1	"none"
"ONT_Orig"	"GeLuster"	0.942	0.913	0.973	0.881	0.6	"00:11:56"	1	"none"
"ONT_Orig"	"isONclust1"	0.942	0.908	0.979	0.711	1	"00:20:15"	1	"none"
"ONT_Orig"	"isONclust3"	0.877	0.791	0.985	0.91	0.5	"00:03:50"	1	"Commit 07437a9"
"ONT_Orig"	"isONclust3_syncmers"	0.889	0.81	0.985	0.91	0.6	"00:06:26"	1	"Commit 07437a9"
"ONT_Orig"	"isONclust3_a"	0.877	0.791	0.985	0.91	0.5	"00:10:10"	1	"Commit 07437a9"
"ONT_Orig"	"Rattle"	0.967	0.962	0.973	0.925	3.3	"00:18:16   "	1	"none"
"SIM-500k"	"GeLuster"	0.981	0.993	0.969	0.795	2.9	"00:31:45"	1	"none"
"SIM-500k"	"isONclust1"	0.793	0.657	1	0	3.3	"07:07:53"	1	"none"
"SIM-500k"	"isONclust3"	0.988	0.981	0.996	0.944	2.7	"00:11:13"	1	"Commit 07437a9"
"SIM-500k"	"isONclust3_syncmers"	0.951	0.91	0.996	0.621	2.5	"00:18:13"	1	"Commit 07437a9"
"SIM-500k"	"isONclust3_a"	0.988	0.98	0.996	0.94	2.5	"00:21:59"	1	"Commit 07437a9"
"SIM-500k"	"Rattle"	0.991	0.992	0.989	0.896	18.7	"10:53:51"	1	"none"
"Drosophila"	"GeLuster"	0.858	0.759	0.986	0.424	6.6	"01:50:46"	1	"none"
"Drosophila"	"isONclust1"	0.85	0.742	0.994	0.253	8.3	"11:04:32"	1	"none"
"Drosophila"	"isONclust3"	0.879	0.8	0.976	0.469	5.5   	"01:46:05"	1	"Commit 07437a9"
"Drosophila"	"isONclust3_a"	0.877	0.799	0.973	0.453	6.3	"02:01:51"	1	"Commit 07437a9"
"Drosophila"	"Rattle"	0.863	0.773	0.976	0.444	42.4	"03:53:46"	1	
