Dataset	Threshold	V	c	h	ARI
ALZ	0.0	0.861	0.762	0.991	0.663
ALZ	0.1	0.861	0.762	0.991	0.663
ALZ	0.5	0.861	0.762	0.991	0.663
ALZ	0.75	0.861	0.762	0.991	0.663
ALZ	0.9	0.861	0.762	0.991	0.663
ALZ	0.95	0.861	0.762	0.991	0.663
ALZ	0.97	0.861	0.762	0.991	0.663
ALZ	0.98	0.861	0.762	0.991	0.663
ALZ	0.99	0.685	0.521	1.0	0.0
Droso	0.0	0.825	0.768	0.891	0.238
Droso	0.1	0.825	0.768	0.891	0.238
Droso	0.5	0.833	0.769	0.909	0.259
Droso	0.75	0.86	0.779	0.96	0.372
Droso	0.9	0.864	0.776	0.973	0.411
Droso	0.95	0.858	0.758	0.987	0.469
Droso	0.97	0.841	0.732	0.988	0.466
Droso	0.98	0.824	0.706	0.989	0.468
Droso	0.99	0.787	0.652	0.994	0.452
