Dataset	Threshold	V	c	h	ARI
Droso	0.1	0.163	0.659	0.093	0.002
Droso	0.2	0.682	0.754	0.623	0.037
Droso	0.3	0.846	0.799	0.898	0.251
Droso	0.4	0.871	0.798	0.959	0.405
Droso	0.5	0.864	0.776	0.973	0.411
Droso	0.6	0.83	0.715	0.989	0.450
Droso	0.7	0.758	0.611	0.997	0.436
Droso	0.8	0.648	0.48	0.999	0.236
Droso	0.9	0.571	0.4	1.0	0.026
ONTh	0.1	0.18	0.764	0.102	0.003
ONTh	0.2	0.663	0.876	0.534	0.068
ONTh	0.3	0.892	0.924	0.863	0.408
ONTh	0.4	0.903	0.898	0.908	0.439
ONTh	0.5	0.908	0.854	0.969	0.899
ONTh	0.6	0.869	0.782	0.977	0.893
ONTh	0.7	0.808	0.684	0.987	0.830
ONTh	0.8	0.74	0.59	0.993	0.678
ONTh	0.9	0.669	0.503	0.999	0.057
ALZ	0.1	0.051	0.672	0.026	0.000
ALZ	0.2	0.339	0.709	0.222	0.001
ALZ	0.3	0.816	0.784	0.852	0.059
ALZ	0.4	0.866	0.778	0.977	0.559
ALZ	0.5	0.861	0.762	0.991	0.663
ALZ	0.6	0.85	0.742	0.995	0.642
ALZ	0.7	0.835	0.719	0.997	0.627
ALZ	0.8	0.815	0.688	0.999	0.596
ALZ	0.9	0.763	0.617	1.0	0.520
