Dataset	Tool	V	c	h	ARI	Mem_usage(Gb)	rt(d-h:m:s)	threads
SIRV	GeLuster	0.779	0.689	0.895	0.826	2.5	"0:6:03"	8
SIRV	GeLuster	0.779	0.689	0.895	0.826	2.4	"0:27:51"	1
SIRV	isONclust1	0.629	0.462	0.985	0.268	3.0	"0:27:49"	1
SIRV	isONclust1	0.629	0.462	0.985	0.268	7.7	"0:5:07"	8
SIRV	isONclust3	0.792	0.656	1.0	0.943	0.5	"0:9:12"	1
SIRV	isONclust3 (1 core)	0.792	0.656	1.0	0.943	0.5	"0:9:12"	8
SIRV	isONclust3_nc	0.887	0.813	0.977	0.820	2.4	"0:45:48"	1
SIRV	Rattle	0.793	0.668	0.974	0.862	16.5	"0:2:53"	8
SIRV	Rattle	0.793	0.668	0.974	0.862	16.4	"0:15:02"	1
Droso	GeLuster	0.858	0.759	0.986	0.423	6.7	"0:18:29"	8
Droso	GeLuster	0.858	0.759	0.986	0.423	6.5	"1:12:26"	1
Droso	isONclust1	0.85	0.742	0.994	0.252	21.7	"1:37:16"	8
Droso	isONclust1	0.85	0.742	0.994	0.252	8.3	"9:37:23"	1
Droso	isONclust3	0.858	0.758	0.987	0.469	5.8	"0:40:21"	1
Droso	isONclust3 (1 core)	0.858	0.758	0.987	0.469	5.8	"0:40:21"	8
Droso	isONclust3_nc	0.856	0.755	0.988	0.459	5.8	"0:36:34"	1
Droso	Rattle	0.863	0.773	0.976	0.443	42.4	"8:45:09"	8
ONT_human	GeLuster	0.907	0.857	0.964	0.739	2.1	"0:5:09"	8
ONT_human	GeLuster	0.907	0.857	0.964	0.739	1.8	"0:24:18"	1
ONT_human	isONclust1	0.659	0.492	1.0	0.0	7.9	"2:59:40"	8
ONT_human	isONclust1	0.659	0.492	1.0	0.0	2.8	"4:42:09"	1
ONT_human	isONclust3	0.896	0.832	0.971	0.893	1.5	"0:6:04"	1
ONT_human	isONclust3 (1 core)	0.896	0.832	0.971	0.893	1.5	"0:6:04"	8
ONT_human	isONclust3_nc	0.887	0.813	0.977	0.819	1.5	"0:6:02"	1
ONT_human	Rattle	0.88	0.827	0.94	0.865	9.2	"4:49:48"	8
SIM	GeLuster	0.981	0.993	0.969	0.795	4.2	"0:7:28"	8
SIM	GeLuster	0.981	0.993	0.969	0.795	1.8	"0:26:16"	1
SIM	isONclust1	0.955	0.917	0.995	0.567	13.8	"2:26:53"	8
SIM	isONclust1	0.955	0.917	0.995	0.567	3.3	"7:09:28"	1
SIM	isONclust3	0.976	0.956	0.997	0.919	2.2	"0:4:36"	1
SIM	isONclust3 (1 core)	0.976	0.956	0.997	0.919	2.2	"0:4:36"	8
SIM	isONclust3_nc	0.942	0.892	0.997	0.599	1.7	"0:3:54"	1
SIM	Rattle	0.991	0.992	0.989	0.896	18.8	"1:47:43"	8
SIM	Rattle	0.991	0.992	0.989	0.896	18.7	"10:59:00"	1
ALZ	GeLuster	0.837	0.748	0.951	0.632	32.7	"9:18:23"	8
ALZ	GeLuster	0.837	0.748	0.951	0.632	32.7	"57:27:54"	1
ALZ	isONclust1	0.789	0.654	0.993	0.305	95.8	"45:56:00"	8
ALZ	isONclust3	0.861	0.762	0.991	0.663	26.0	"1:41:51"	1
ALZ	isONclust3 (1 core)	0.861	0.762	0.991	0.663	26.0	"1:41:51"	8
ALZ	isONclust3_nc	0.86	0.758	0.993	0.658	25.8	"1:34:00"	1
HG002	isONclust3	0.843	0.786	0.91	0.491	163.1	"10:56:49"	1
HG002	isONclust3_nc	0.844	0.785	0.913	0.559	164.7	"10:26:08"	1
